No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
792,CALF Turnkey,Laois,"Ballymorris Green, Portarlington, Co Laois (Phase 2)",17,Clúid Housing,,,,,Q2-2021,
793,CALF Turnkey,Laois,"Ballymorris Green, Portarlington, Co Laois (Phase 3)",14,Clúid Housing,,,,,Q2-2021,
794,CALF Turnkey,Laois,"Bellingham, Portlaoise
 (Phase 4)*",9,Clúid Housing,,,,,,Q1-2021
795,CALF Turnkey,Laois,"Bellingham, Portlaoise
 (Phase 5)*",6,Clúid Housing,,,,,,Q3-2021
796,CALF Turnkey,Laois,"Borris Road, Portlaoise, Co. Laois (Phase 4)",9,Tuath Housing Association,,,,,,Q1-2021
797,CALF Turnkey,Laois,"Clonroosk Abbey, Portlaoise, Co. Laois (Phase 1)*",26,Clúid Housing,,,,,Q4-2018,
798,CALF Turnkey,Laois,"Clonroosk Abbey, Portlaoise, Co. Laois (Phase 2)",6,Clúid Housing,,,,,Q4-2018,
799,CALF Construction,Laois,"Curragh na Mona, Abbeyleix Rd, Portlaoise, Co. Laois (Phase 1)",39,Respond,,,,Q2-2022,,
800,CALF Turnkey,Laois,"Doirinn Alainn, Ballylynan, Co. Laois (Phase 3)*",6,North and East Housing Association CLG,,,,,,Q2-2021
801,CALF Turnkey,Laois,"Droughill Lawn, Portarlington, Co. Laois (Phase 1)*",26,Oaklee Housing,,,,,,Q2-2022
802,CALF Turnkey,Laois,"Goldencroft, Portlaoise, Co. Laois (Phase 1)",13,Clúid Housing,,,,,Q3-2021,
803,CALF Turnkey,Laois,"Goldencroft, Portlaoise, Co. Laois (Phase 2)",24,Clúid Housing,,,,,Q3-2021,
804,CALF Turnkey,Laois,"Goldencroft, Portlaoise, Co. Laois (Phase 3)",30,Clúid Housing,,,,,Q3-2021,
805,CALF Turnkey,Laois,"Harpurs Lane, Portlaoise, Co. Laois (Phase 1)*",44,Respond,,,,,Q2-2021,
806,CALF Construction,Laois,"Hepburn Court, Ballyfin Rd, Maryborough, Portlaoise, Co. Laois (Phase 1)",54,Clúid Housing,,,,Q2-2022,,
807,CALF Turnkey,Laois,"Holdbrook, Portlaoise, Co. Laois (Phase 1)",10,Clúid Housing,,,,,,Q3-2021
808,CALF Turnkey,Laois,"Holdbrook, Portlaoise, Co. Laois (Phase 2)",10,Clúid Housing,,,,,Q3-2018,
809,CALF Turnkey,Laois,"Lake Drive, Kilminchy, Portlaoise, Co. Laois (Phase 1)",10,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2021
810,CALF Turnkey,Laois,"Phase 2 The Glen, Kilnacourt, Portarlington, Co Laois (Phase 1)",18,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2021
811,CALF Turnkey,Laois,"Phase 3 The Glen, Kilnacourt, Portarlington, Co Laois. (Phase 1)",8,Co - Operative Housing Ireland Society Limited,,,,,,Q3-2021
812,CALF Turnkey,Laois,"Rathillion, Killeshin, Co. Laois (Phase 1)*",4,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2021
813,CALF Turnkey,Laois,"South Dublin Road, Portlaoise, Co. Laois (Phase 1)",13,Co - Operative Housing Ireland Society Limited,,,,,Q1-2020,
814,CALF Turnkey,Laois,"South Dublin Road, Portlaoise, Co. Laois (Phase 2)",14,Co - Operative Housing Ireland Society Limited,,,,,Q1-2020,
815,CALF Turnkey,Laois,"South Dublin Road, Portlaoise, Co. Laois (Phase 3)*",9,Co - Operative Housing Ireland Society Limited,,,,,Q1-2020,
816,CALF Turnkey,Laois,"The Maltings and Roselawn, Portlaoise, Co. Laois (Phase 1)*",15,Clúid Housing,,,,,Q1-2020,
817,CALF Turnkey,Laois,"The Maltings and Roselawn, Portlaoise, Co. Laois (Phase 2)*",40,Clúid Housing,,,,,Q1-2020,
818,CALF Turnkey,Laois,"The Meadows, Mountrath Road, Portlaoise, Co. Laois (Phase 1)*",48,Clúid Housing,,,,,Q1-2022,
819,CALF Turnkey,Laois,"The Springs, Kilminchy, Portlaoise, Co Laois (Phase 1)*",43,Clúid Housing,,,,,Q2-2021,
820,SHIP CONSTRUCTION TURNKEY,Leitrim,"Church Lane, Ballinamore",9,*N/A,,,,,,Q4-2021
821,SHIP CONSTRUCTION TURNKEY,Leitrim,"Druminshingore, Newtowngore",2,*N/A,,,,,,Q4-2021
822,SHIP CONSTRUCTION TURNKEY,Leitrim,"Carraig Breac, Drumshanbo",5,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
823,SHIP CONSTRUCTION TURNKEY,Leitrim,"Ard na Drise, Mohill",2,*N/A,,,,,,Q1-2021
824,SHIP CONSTRUCTION TURNKEY,Leitrim,"Lough Meen Estate, Drumkeerin",2,*N/A,,,,,,Q4-2021
825,SHIP CONSTRUCTION TURNKEY,Leitrim,"Commons Lane, Manorhamilton",4,*N/A,,,,"Stage 4 approved Q4-2020, the scheme is fully approved.",,
826,SHIP CONSTRUCTION TURNKEY,Leitrim,"Cluain Oir, Liscara, Carrick on Shannon",2,*N/A,,,,,,Q2-2021
827,SHIP CONSTRUCTION TURNKEY,Leitrim,Manorhamilton & Carrigallen,2,*N/A,,,,,,Q3-2021
828,SHIP CONSTRUCTION TURNKEY,Leitrim,"Lisnagot, Carrick on Shannon, Co. Leitrim",3,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
829,SHIP CONSTRUCTION SINGLE STAGE,Leitrim,"Breffni Cres., 53 St. Patricks Park Site, Carrick on Shannon",2,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,
830,SHIP CONSTRUCTION SINGLE STAGE,Leitrim,"Dromahair Td., Dromahair",4,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
831,SHIP CONSTRUCTION RENEWAL,Leitrim,"Sean McDermott St., Manorhamilton",4,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
832,SHIP CONSTRUCTION,Leitrim,"Autumn View, Summerhill, Carrick on Shannon",27,*N/A,,,,,,Q4-2021
833,SHIP CONSTRUCTION,Leitrim,"Taobh Tire, Manorhamilton (Phase 3)",5,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
834,SHIP CONSTRUCTION,Leitrim,"Pairceanna an Bhaile, Townparks, Carrick on Shannon",7,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
835,SHIP CONSTRUCTION,Leitrim,"Lahard, Ballinamore",10,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
836,SHIP CONSTRUCTION,Leitrim,"Kilboderry Td., Carrick on Shannon",18,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
837,SHIP CONSTRUCTION,Leitrim,"Pairceanna an Bhaile, Townparks, Carrick on Shannon",5,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
838,SHIP CONSTRUCTION TURNKEY,Leitrim,"Druminshingore Td., Newtowngore",3,*N/A,,,,,,Q2-2022
839,SHIP CONSTRUCTION TURNKEY,Limerick,"Redgate Close, Old Cratloe Road, Limerick City",14,*N/A,,,,,Q1-2020,
840,SHIP CONSTRUCTION TURNKEY,Limerick,"Gortboy, Charleville Road, KiImallock",24,*N/A,,,,,,Q1-2022
841,SHIP CONSTRUCTION TURNKEY,Limerick,Knocklong,5,*N/A,,,,,Q2-2021,
842,SHIP CONSTRUCTION TURNKEY,Limerick,"Gortboy, Charleville Road, KiImallock",9,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,
843,SHIP CONSTRUCTION TURNKEY,Limerick,"Broad Street, Limerick",13,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
844,SHIP CONSTRUCTION TURNKEY,Limerick,"Laurelville, Mill Rd, Corbally, Limerick",2,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
845,SHIP CONSTRUCTION TURNKEY,Limerick,"Woodfield Manor, Cloonyscrehane, Newcastlewest, Co Limerick",19,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
846,SHIP CONSTRUCTION RENEWAL,Limerick,"Lot 2 Derelict Sites, Limerick",7,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
847,SHIP CONSTRUCTION DESIGN BUILD,Limerick,"Old Christians Site, Rathbane",43,*N/A,,,,,,Q2-2021
848,SHIP CONSTRUCTION DESIGN BUILD,Limerick,"Barnakyle, Patrickswell (Site 2)",24,*N/A,"Stage 1 approved Q1-2018, outline design and costs being prepared.",,,,,
849,SHIP CONSTRUCTION,Limerick,"Ballysimon, Greenhill Road ",14,*N/A,,,,,,Q1-2022
850,SHIP CONSTRUCTION,Limerick,"Gough Place, Rosbrien Road, Limerick",17,*N/A,,,,,Q4-2020,
851,SHIP CONSTRUCTION,Limerick,"Clonmacken, Limerick City",43,*N/A,,,,,Q3-2019,
852,SHIP CONSTRUCTION,Limerick,"Deerpark, Adare",13,*N/A,"Stage 1 approved Q2-2015, outline design and costs being prepared.",,,,,
853,SHIP CONSTRUCTION,Limerick,"Glenview Drive, Hospital",20,*N/A,,,,,Q3-2020,
854,SHIP CONSTRUCTION,Limerick,"Clare Street, Limerick City",7,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
855,SHIP CONSTRUCTION,Limerick,"Lower Carey's Road, Limerick City",11,*N/A,,,,,,Q1-2021
856,SHIP CONSTRUCTION,Limerick,"Kileely Road, Moyross",5,*N/A,,,,,,Q2-2021
857,SHIP CONSTRUCTION,Limerick,"Station Close, Knocklong",12,*N/A,,,,,Q3-2021,
858,SHIP CONSTRUCTION,Limerick,"Colbert Terrace, Abbeyfeale",4,*N/A,,"Stage 2 approved Q2-2021, full design/tender being prepared.",,,,
859,SHIP CONSTRUCTION,Limerick,"St. Michael's Court, Watergate Flats, ",9,*N/A,"Stage 1 approved Q1-2018, outline design and costs being prepared.",,,,,
860,SHIP CONSTRUCTION,Limerick,"Ballysimon, Greenhills Road",3,*N/A,,,,,,Q1-2022
861,SHIP CONSTRUCTION,Limerick,"Clueing Dara, Broadford",11,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,
862,SHIP CONSTRUCTION,Limerick,"Sycamore Crescent, Newcastle West, Co Limerick",21,*N/A,"Stage 1 approved Q3-2020, outline design and costs being prepared.",,,,,
863,SHIP CONSTRUCTION,Limerick,"Radharc an Ghleanna, Mountcollins",4,*N/A,,,,,Q2-2022,
864,SHIP CONSTRUCTION,Limerick,"O’Connor Park, Ardagh, Co. Limerick",8,*N/A,,,,,Q2-2022,
865,SHIP CONSTRUCTION,Limerick,"Church Glen, Ballylanders, Co. Limerick",9,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,
866,SHIP CONSTRUCTION,Limerick,"Radharc Cillin, Kilfinane, Co. Limerick",10,*N/A,,,,,Q2-2022,
867,SHIP CONSTRUCTION,Limerick,"Ballycummin Road, Raheen, Co. Limerick",19,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
868,SHIP CONSTRUCTION,Limerick,"Brugh na Deise, Bruff, Co Limerick",17,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
869,SHIP CONSTRUCTION,Limerick,"Quinns Cross, Skehacreggaun, Mungret, Limerik.",24,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
870,SHIP CONSTRUCTION,Limerick,"(Formerly Whelan's Pub), 52 New Road, Thomandgate, Limerick",6,*N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
871,SHIP CONSTRUCTION,Limerick,"Deerpark, Adare",18,*N/A,,"Stage 2 approved Q4-2020, full design/tender being prepared.",,,,
872,SHIP CONSTRUCTION,Limerick,"Sycamore Crescent, Newcastle West, Co Limerick",10,*N/A,"Stage 1 approved Q3-2020, outline design and costs being prepared.",,,,,
873,SHIP CONSTRUCTION,Limerick,"Clueing Dara, Broadford",8,N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,
874,REGENERATION,Limerick,Sheep / Athlunkards Street,8,Túath Housing Association Ltd,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
875,REGENERATION,Limerick,Churchfield,37,Cluid Housing Association,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
876,REGENERATION,Limerick,Cosgrave Park,30,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
877,REGENERATION,Limerick,Orchard Site,27,Oaklee Housing Trust,,,"Stage 3 approved Q2-2021, the scheme is now approved to proceed to tender.",,,
878,REGENERATION,Limerick,Cliona Park Phase 3,18,Túath Housing Association Ltd,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
879,REGENERATION,Limerick,45A-46A Cliona Park,2,*N/A,,,,,,Q3-2021
880,REGENERATION,Limerick,Dalgaish Park,27,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
881,REGENERATION,Limerick,Cliona Park Phase 4,20,*N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
882,CAS CONSTRUCTION,Limerick,"Towerfield Crescent, Croom",16,Croom Voluntary Housing Association Ltd,,,"Stage 3 approved Q1-2022, the scheme is now approved to proceed to tender.",,,
883,CAS CONSTRUCTION,Limerick,Cappamore (Creamery Site),10,Cappamore Housing Association Ltd,,,"Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.",,,
884,CAS CONSTRUCTION,Limerick,"Mirth, Thomondgate",18,Associated Charities Trust Ltd,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
885,CAS CONSTRUCTION,Limerick,2/3 Mallow Street,12,Peter McVerry Trust Ltd,,,"Stage 3 approved Q2-2022, the scheme is now approved to proceed to tender.",,,
886,CAS CONSTRUCTION,Limerick,"St. Pauls Convent, Kilfinane",9,Sophia Housing Association Ltd,,"Stage 2 approved Q3-2020, full design/tender being prepared.",,,,
887,CAS CONSTRUCTION,Limerick,"McGarry House, 7 Alphonsus Street",8,Arlington Novas Ireland Ltd,,,"Stage 3 approved Q2-2022, the scheme is now approved to proceed to tender.",,,
888,CAS CONSTRUCTION,Limerick,"47 & 48 Main Street, Croom, Limerick",5,Croom Voluntary Housing Association Ltd,,,"Stage 3 approved Q2-2022, the scheme is now approved to proceed to tender.",,,
889,CAS CONSTRUCTION,Limerick,"58 Henry Street, Limerick",5,Simon Community : Midwest Simon,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,
890,CAS CONSTRUCTION,Limerick,"Infills Carew Park, Southhill and Moyross",14,Peter McVerry Trust Ltd,,,,,Q1-2021,
891,CAS CONSTRUCTION,Limerick,"28/29 Lower Gerald Griffin Street, Limerick",4,Peter McVerry Trust Ltd,,,"Stage 3 approved Q2-2022, the scheme is now approved to proceed to tender.",,,
892,CAS CONSTRUCTION,Limerick,"42 St Joseph's Street, Limerick",3,Peter McVerry Trust Ltd,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,
893,CAS CONSTRUCTION,Limerick,"Nunan's Corner, Tullaha, Broadford, Co Limerick",7,Broadford Voluntary Housing and Community Childcare CLG,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
894,CAS CONSTRUCTION,Limerick,"Infills Carew Park, Southhill and Moyross",24,Peter McVerry Trust Ltd,,,,,Q1-2021,
895,CALF Turnkey,Limerick,19 and 20 Castleview Shopping Centre Castleconnell  Limerick (Phase 1),2,Focus Housing Association CLG,,,,,,Q4-2021
896,CALF Turnkey,Limerick,"Baunacloka Heights, Mungret Gate, Mungret, Co. Limerick (Phase 2)*",25,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2021
897,CALF Turnkey,Limerick,"Bloodmill Road, Singland, Limerick (Phase 1)*",52,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021
898,CALF Turnkey,Limerick,"Bloodmill Road, Singland, Limerick (Phase 2)",32,Co - Operative Housing Ireland Society Limited,,,,,Q2-2020,
899,CALF Turnkey,Limerick,"Bloodmill Road, Singland, Limerick (Phase 3)*",19,Co - Operative Housing Ireland Society Limited,,,,,Q2-2020,
900,CALF Turnkey,Limerick,"Bloodmill Road, Singland, Limerick (Phase 4)*",34,Co - Operative Housing Ireland Society Limited,,,,,Q2-2020,
901,CALF Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 1)*",35,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021
902,CALF Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 2)",12,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2022
903,CALF Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 3)*",29,Co - Operative Housing Ireland Society Limited,,,,,Q3-2020,
904,CALF Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 4)*",12,Co - Operative Housing Ireland Society Limited,,,,,Q3-2020,
905,CALF Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 5)*",22,Co - Operative Housing Ireland Society Limited,,,,,Q3-2020,
906,CALF Turnkey,Limerick,"Dromsally Woods, Cappamore, Co. Limerick (Phase 1)",5,Focus Housing Association CLG,,,,,Q3-2020,
907,CALF Turnkey,Limerick,"Mungret Gate, Baunacloka, Mungret, Limerick (Phase 1)",8,Clúid Housing,,,,,,Q2-2021
908,CALF Turnkey,Limerick,"Mungret Gate, Baunacloka, Mungret, Limerick (Phase 2)*",23,Clúid Housing,,,,,,Q2-2022
909,CALF Turnkey,Limerick,"Newtown, Castletroy, Limerick (Phase 1)*",31,Clúid Housing,,,,Q2-2021,,
910,CALF Turnkey,Limerick,"Old Dublin Road, Rhebogue, Limerick (Phase 1)*",16,Focus Housing Association CLG,,,,,,Q2-2022
911,CALF Turnkey,Limerick,"Phase 2 Newtown Meadows, Castletroy, Limerick (Phase 1)*",32,Clúid Housing,,,,Q4-2021,,
912,CALF Turnkey,Limerick,"Toormore, Main Street, Bruree, Co. Limerick (Phase 1)",16,Clúid Housing,,,,,,Q2-2021
913,CALF Construction,Limerick,"Turragh Crescent, Cappamore, Limerick (Phase 1)",15,Clúid Housing,,,,Q3-2021,,
914,SHIP CONSTRUCTION TURNKEY,Longford,"Slí Corglass, Legga",4,*N/A,,,,,,Q1-2021
915,SHIP CONSTRUCTION TURNKEY,Longford,"Farnagh Hill, Longford Town",8,*N/A,,,,,,Q1-2021
916,SHIP CONSTRUCTION TURNKEY,Longford,Campbell’s Lane,6,*N/A,,,,,,Q3-2021
917,SHIP CONSTRUCTION TURNKEY,Longford,"O'Hara Site, Connaught Rd.,Longford",14,*N/A,,,,,Q1-2021,
918,SHIP CONSTRUCTION TURNKEY,Longford,"Alder Field, Farnagh Hill",4,*N/A,,,,,,Q4-2021
919,SHIP CONSTRUCTION TURNKEY,Longford,"Slí Corglass, Legga",4,*N/A,,,,,,Q2-2021
920,SHIP CONSTRUCTION TURNKEY,Longford,Campbell’s Lane,4,*N/A,,,,,,Q2-2021
921,SHIP CONSTRUCTION TURNKEY,Longford,"Slí Corglass, Legga",1,*N/A,,,,,,Q3-2021
922,SHIP CONSTRUCTION TURNKEY,Longford,Campbell’s Lane,5,*N/A,,,,,,Q2-2021
923,SHIP CONSTRUCTION TURNKEY,Longford,"St. Patricks Ct., Ballinamuck",8,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
924,SHIP CONSTRUCTION TURNKEY,Longford,"Alder Field, Farnagh Hill",12,N/A,,,,,,Q3-2021
925,SHIP CONSTRUCTION TURNKEY,Longford,Campbell’s Lane,6,N/A,,,,,,Q4-2021
926,SHIP CONSTRUCTION TURNKEY,Longford,"Alder Field, Farnagh Hill",4,N/A,,,,,,Q4-2021
927,SHIP CONSTRUCTION TURNKEY,Longford,"Alder Field, Farnagh Hill",3,N/A,,,,,,Q4-2021
928,SHIP CONSTRUCTION TURNKEY,Longford,"Alder Field, Farnagh Hill",1,N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
929,SHIP CONSTRUCTION TURNKEY,Longford,Campbell’s Lane,2,N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
930,SHIP CONSTRUCTION TURNKEY,Longford,"Caislean Breac, Newtownforbes",2,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
931,SHIP CONSTRUCTION TURNKEY,Longford,"Forthill, Aughnacliffe",13,N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
932,SHIP CONSTRUCTION,Longford,"'Rose Cottage', Ballinalee",6,*N/A,,,,,,Q4-2021
933,SHIP CONSTRUCTION,Longford,"St.Rita's, Park Road, Longford",11,*N/A,,"Stage 2 approved Q1-2020, full design/tender being prepared.",,,,
934,SHIP CONSTRUCTION,Longford,"Fairgreen View, Longford Town",1,*N/A,,,,,,Q2-2021
935,SHIP CONSTRUCTION,Longford,"Cranleymore, Abbeylara",3,*N/A,,,"Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.",,,
936,SHIP CONSTRUCTION,Longford,"Cloonahard, Edgeworthstown",1,*N/A,,,,,,Q2-2021
937,SHIP CONSTRUCTION,Longford,"Woodlands Path, Keenagh",4,*N/A,,"Stage 2 approved Q3-2022, full design/tender being prepared.",,,,
938,SHIP CONSTRUCTION,Longford,"Clough Dillons, Keenagh",4,N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,
939,SHIP CONSTRUCTION,Longford,"Radharc Na Muileann, Lanesborough",10,N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
940,SHIP CONSTRUCTION,Longford,"24B Congress Terrace, Longford",1,N/A,,,"Stage 3 approved Q2-2021, the scheme is now approved to proceed to tender.",,,
941,SHIP CONSTRUCTION,Longford,"Cnoc Na Gréine, Granard",6,N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
942,SHIP CONSTRUCTION,Longford,"Radharc Na Muileann, Lanesborough",12,N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
943,CAS CONSTRUCTION,Longford,"Comcille Terrace, Granard ",11,Túath Housing Association Ltd,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
944,SHIP CONSTRUCTION TURNKEY,Louth,"‘Gort Bui’, Ballymakenny Road, Drogheda",10,*N/A,,,,,,Q1-2021
945,SHIP CONSTRUCTION TURNKEY,Louth,"‘Gort Bui’, Ballymakenny Road, Drogheda",9,*N/A,,,,,,Q2-2021
946,SHIP CONSTRUCTION TURNKEY,Louth,"‘Gort Bui’, Ballymakenny Road, Drogheda",8,*N/A,,,,,,Q2-2021
947,SHIP CONSTRUCTION TURNKEY,Louth,"Glyde View, Tallanstown",2,*N/A,,,,,,Q2-2021
948,SHIP CONSTRUCTION TURNKEY,Louth,"Termon River, Termonfeckin",1,*N/A,,,,,,Q4-2021
949,SHIP CONSTRUCTION TURNKEY,Louth,"Ellwood, Ballymakenny Road, Drogheda",8,*N/A,,,,,Q1-2022,
950,SHIP CONSTRUCTION TURNKEY,Louth,"Ellwood, Ballymakenny Road, Drogheda",5,*N/A,,,,,Q1-2022,
951,SHIP CONSTRUCTION TURNKEY,Louth,"Ellwood, Ballymakenny Road, Drogheda",5,*N/A,,,,,Q1-2022,
952,SHIP CONSTRUCTION TURNKEY,Louth,"Ellwood, Ballymakenny Road, Drogheda",17,*N/A,,,,,Q1-2022,
953,SHIP CONSTRUCTION SINGLE STAGE,Louth,"Moneymore, Drogheda",1,*N/A,,,,,Q2-2020,
954,SHIP CONSTRUCTION SINGLE STAGE,Louth,"Gort Uaine, Clogherhead",1,*N/A,,,,,Q3-2020,
955,SHIP CONSTRUCTION SINGLE STAGE,Louth,"School Lane, Dunleer",1,*N/A,,,,,Q3-2020,
956,SHIP CONSTRUCTION SINGLE STAGE,Louth,"Doire Beag, Collon",6,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,
957,SHIP CONSTRUCTION RENEWAL,Louth,"CPO Bundle 5 - 26 Castle Road, Dundalk",1,*N/A,,,,,,Q1-2021
958,SHIP CONSTRUCTION RENEWAL,Louth,"CPO Bundle 6 - 6 Moorehall, Ardee",1,*N/A,,,,,,Q1-2021
959,SHIP CONSTRUCTION,Louth,"Boice Court (Phase 2), Drogheda",72,*N/A,,,"Stage 3 approved Q2-2022, the scheme is now approved to proceed to tender.",,,
960,SHIP CONSTRUCTION,Louth,Father Finn Park (Phase 2),17,*N/A,,,,,,Q2-2021
961,SHIP CONSTRUCTION,Louth,"Mount Avenue, Dundalk",93,*N/A,,"Stage 2 approved Q4-2020, full design/tender being prepared.",,,,
962,SHIP CONSTRUCTION,Louth,"Muirhevnamor, Dundalk (Phase 1)",11,*N/A,,,,,Q1-2021,
963,SHIP CONSTRUCTION,Louth,"Rathmullen Park, Drogheda",6,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
964,REGENERATION,Louth,Cox's Demesne Phase 2b,22,*N/A,,,,,Q1-2020,
965,CAS CONSTRUCTION TURNKEY,Louth,"Liscorrie, Bog Road, Drogheda",12,Túath Housing Association Ltd,,,,,,Q2-2021
966,CAS CONSTRUCTION RENEWAL,Louth,Kincora House,8,Peter McVerry Trust Ltd,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
967,CAS CONSTRUCTION,Louth,"5 Slieveroe Crescent, Dundalk",1,Cluid Housing Association,,,,,,Q4-2021
968,CAS CONSTRUCTION,Louth,"Barrack Street, Dundalk",21,Simon Community : Dundalk Simon,"Stage 1 approved Q3-2018, outline design and costs being prepared.",,,,,
969,CAS CONSTRUCTION,Louth,"Tierney Street, Ardee",7,Oaklee Housing Trust,,,"Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.",,,
970,CAS CONSTRUCTION,Louth,"Coulter Place, Dundalk",7,Túath Housing Association Ltd,,,,,Q3-2021,
971,CAS CONSTRUCTION,Louth,"Four Winds, Mullacapple, Collon",1,St. John of God Housing Association Ltd,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
972,CAS CONSTRUCTION,Louth,"St. John's Home, Peter's Hill, Drogheda",4,North ? East Housing Association Ltd,,,"Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.",,,
973,CAS CONSTRUCTION,Louth,"Riverwell Close, Dundalk",1,Respond,"Stage 1 approved Q1-2019, outline design and costs being prepared.",,,,,
974,CAS CONSTRUCTION,Louth,"Highfield, Newry Road, Dundalk (Domestic Violence Refuge)",12,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,
975,CAS CONSTRUCTION,Louth,"10-16 The Alleys, St. Peter's Place, Drogheda",14,Peter McVerry Trust Ltd,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
976,CALF Turnkey,Louth,"Cathedral View, Ramparts, Dundalk, Co. Louth (Phase 1)*",16,Tuath Housing Association,,,,,,Q1-2021
977,CALF Turnkey,Louth,"Cathedral View, Ramparts, Dundalk, Co. Louth (Phase 2)",10,Tuath Housing Association,,,,,,Q2-2021
978,CALF Turnkey,Louth,"Cathedral View, Ramparts, Dundalk, Co. Louth (Phase 3)",16,Tuath Housing Association,,,,,,Q4-2021
979,CALF Turnkey,Louth,"Cathedral View, Ramparts, Dundalk, Co. Louth (Phase 4)",11,Tuath Housing Association,,,,,,Q4-2021
980,CALF Turnkey,Louth,"Cathedral View, Ramparts, Dundalk, Co. Louth (Phase 5)",12,Tuath Housing Association,,,,,Q1-2020,
981,CALF Turnkey,Louth,"Clonmore Close, Ardee, Co. Louth (Phase 1)",12,Clúid Housing,,,,,,Q1-2021
